Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,02/12/2017,Arsenal,Man United,,,,,,,2.5,3.39,3,2.45,3.25,3,2.5,3.2,2.95,2.37,3.3,2.9,2.44,3.42,3.14,2.5,3.2,3,2.45,3.4,3.1,35,2.52,2.44,3.5,3.31,3.2,2.99,31,2.01,1.93,1.95,1.89,20,-0.25,2.14,2.1,1.85,1.8
E0,02/12/2017,Brighton,Liverpool,,,,,,,7.5,4.5,1.5,6.25,4.5,1.5,6.5,4.2,1.5,7,4.2,1.5,7.58,4.55,1.5,6.5,4.5,1.5,7.5,4.5,1.5,35,7.58,6.92,4.55,4.34,1.54,1.49,30,1.85,1.77,2.12,2.05,20,1,2.13,2.09,1.84,1.8
E0,02/12/2017,Chelsea,Newcastle,,,,,,,1.25,6.5,15,1.25,6.25,11.5,1.25,6,11,1.25,5.5,13,1.26,6.45,14,1.25,6,13,1.25,6.25,15,34,1.27,1.25,6.55,6.04,15,12.95,33,1.66,1.61,2.42,2.32,18,-1.75,2.05,2,1.95,1.88
E0,02/12/2017,Everton,Huddersfield,,,,,,,1.72,3.79,5.5,1.7,3.7,5.25,1.7,3.7,5,1.7,3.5,5.2,1.72,3.82,5.63,1.73,3.5,5.5,1.67,3.8,6,34,1.75,1.71,3.85,3.68,6,5.3,30,2.12,2.04,1.85,1.79,19,-0.75,1.95,1.91,2.03,1.97
E0,02/12/2017,Leicester,Burnley,,,,,,,1.83,3.6,5,1.83,3.5,4.6,1.9,3.5,4.1,1.8,3.4,4.8,1.83,3.64,5.05,1.75,3.6,5,1.83,3.6,5,35,1.9,1.8,3.7,3.54,5.25,4.77,31,2.27,2.16,1.76,1.7,19,-0.75,2.15,2.08,1.84,1.81
E0,02/12/2017,Stoke,Swansea,,,,,,,1.95,3.39,4.5,1.95,3.3,4.25,1.9,3.5,4.1,1.91,3.3,4.25,1.96,3.41,4.61,1.95,3.4,4.2,1.95,3.4,4.6,35,1.98,1.93,3.5,3.34,4.61,4.36,30,2.3,2.19,1.74,1.68,19,-0.5,1.96,1.93,1.99,1.96
E0,02/12/2017,Watford,Tottenham,,,,,,,5,4,1.72,4.75,3.9,1.72,4.5,3.6,1.8,4.75,3.9,1.67,5.14,4.18,1.7,5,3.8,1.73,5,4.1,1.73,35,5.3,4.9,4.2,3.93,1.8,1.7,30,1.75,1.69,2.26,2.18,19,0.75,2.02,1.99,1.94,1.89
E0,02/12/2017,West Brom,Crystal Palace,,,,,,,2.5,3.2,3.2,2.5,3.1,3.1,2.5,3.1,3,2.4,3,3.1,2.52,3.17,3.25,2.5,3.1,3.1,2.5,3.2,3.2,35,2.57,2.47,3.2,3.1,3.35,3.12,33,2.51,2.39,1.62,1.57,20,-0.25,2.15,2.1,1.83,1.8
E0,03/12/2017,Bournemouth,Southampton,,,,,,,2.89,3.25,2.39,2.95,3.1,2.55,2.7,3.2,2.7,3,3.1,2.45,3.16,3.22,2.54,3,3.1,2.6,3.1,3.25,2.5,35,3.16,2.98,3.3,3.17,2.7,2.51,30,2.25,2.16,1.74,1.69,18,0.25,1.81,1.78,2.2,2.13
E0,03/12/2017,Man City,West Ham,,,,,,,1.08,11,21,1.1,10.5,21,1.12,9,20,1.09,11,29,1.12,13,19.5,1.11,10,23,1.07,12,26,35,1.13,1.1,13,10.73,29,22.34,28,1.25,1.24,4.33,3.88,19,-2.75,2,1.96,1.95,1.92
