Occupation,Level1Id,DescriptionLevel1
"BEER HOUSE KEEPER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"ASSISTING IN BUSINESS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DRESSMAKER ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HOUSE HOLD WORK",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"COKE PORTER",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
"LAUNDRY WORK",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
GLAYSER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
FOLDER,18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"PAINTER HOUSE",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"SALESMAN FURNITURE",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"BUILDERS CONTRACTORS CARTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"GENERAL LABOURER BRICKLAYERS",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"LABOURER CANAL BOAT",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
